Country,White,Gold,Black,Red,Green,Blue,Maroon,Coat of Arms,Circle,Crescent,Cross,Animal,Text,Plant,Star,Sun,Weapon or Tool,Area,Continent,Color Text(Hint1),Design Text(Hint2),Area Text(Hint3),Continent Text(Hint4),Image Code
Afghanistan,Yes,No,Yes,No,No,No,No,,,,,,Yes,,,,,652864,Asia,Flag got the following colours: White/Black/,Flag got the following symbols: Text/,Country's Area is 652864 sqkm,Country is in the Continent of Asia,Afghanistan
Albania,No,No,Yes,Yes,No,No,No,,,,,Double Headed Eagle,,,,,,254,Europe,Flag got the following colours: Black/Red/,Flag got the following symbols: Double Headed Eagle/,Country's Area is 254 sqkm,Country is in the Continent of Europe,Albania
Algeria,Yes,No,No,Yes,Yes,No,No,,,Yes,,,,,Yes,,,2381741,Africa,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 2381741 sqkm,Country is in the Continent of Africa,Algeria
Andorra,No,Yes,No,Yes,No,Yes,No,Yes,,,,Two Cows,Yes,,,,,468,Europe,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Coat of Arms/Two Cows/Text/,Country's Area is 468 sqkm,Country is in the Continent of Europe,Andorra
Angola,No,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,Yes,1246700,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Star/Weapon/Tool/,Country's Area is 1246700 sqkm,Country is in the Continent of Africa,Angola
Antigua and Barbuda,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,,,Yes,,442,North America,Flag got the following colours: White/Gold/Black/Red/Blue/,Flag got the following symbols: Sun/,Country's Area is 442 sqkm,Country is in the Continent of North America,Antigua and Barbados
Argentina,Yes,Yes,No,No,No,Yes,No,,,,,,,,,Yes,,2780400,South America,Flag got the following colours: White/Gold/Blue/,Flag got the following symbols: Sun/,Country's Area is 2780400 sqkm,Country is in the Continent of South America,Argentina
Armenia,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,29743,Asia,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: ,Country's Area is 29743 sqkm,Country is in the Continent of Asia,Armenia
Australia,Yes,No,No,Yes,No,Yes,No,,,,Yes,,,,Yes,,,7741220,Oceania,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Cross/Star/,Country's Area is 7741220 sqkm,Country is in the Continent of Oceania,Australia
Austria,Yes,No,No,Yes,No,No,No,,,,,,,,,,,83878,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 83878 sqkm,Country is in the Continent of Europe,Austria
Azerbaijan,Yes,No,No,Yes,Yes,Yes,No,,,Yes,,,,,Yes,,,86600,Asia,Flag got the following colours: White/Red/Green/Blue/,Flag got the following symbols: Crescent/Star/,Country's Area is 86600 sqkm,Country is in the Continent of Asia,Azerbaijan
Bahamas,No,Yes,Yes,No,No,Yes,No,,,,,,,,,,,13880,North America,Flag got the following colours: Gold/Black/Blue/,Flag got the following symbols: ,Country's Area is 13880 sqkm,Country is in the Continent of North America,Bahamas
Bahrain,Yes,No,No,Yes,No,No,No,,,,,,,,,,,778,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 778 sqkm,Country is in the Continent of Asia,Bahrain
Bangladesh,No,No,No,Yes,Yes,No,No,,Yes,,,,,,,,,148460,Asia,Flag got the following colours: Red/Green/,Flag got the following symbols: Circle/,Country's Area is 148460 sqkm,Country is in the Continent of Asia,Bangladesh
Barbados,No,Yes,Yes,No,No,Yes,No,,,,,,,,,,Yes,431,North America,Flag got the following colours: Gold/Black/Blue/,Flag got the following symbols: Weapon/Tool/,Country's Area is 431 sqkm,Country is in the Continent of North America,Barbados
Belarus,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,207600,Europe,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 207600 sqkm,Country is in the Continent of Europe,Belarus
Belgium,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,30528,Europe,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: ,Country's Area is 30528 sqkm,Country is in the Continent of Europe,Belgium
Belize,Yes,No,No,Yes,No,Yes,No,Yes,Yes,,,,Yes,,,,Yes,22965,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Circle/Text/Weapon/Tool/,Country's Area is 22965 sqkm,Country is in the Continent of North America,Belize
Benin,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,114763,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 114763 sqkm,Country is in the Continent of Africa,Benin
Bhutan,Yes,Yes,No,No,No,No,No,,,,,,,,,,,38394,Asia,Flag got the following colours: White/Gold/,Flag got the following symbols: ,Country's Area is 38394 sqkm,Country is in the Continent of Asia,Bhutan
Bolivia,No,Yes,No,Yes,Yes,No,No,Yes,,,,Condor/Llama,,Yes,,,,1098581,South America,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Coat of Arms/Condor/Llama/Plant/,Country's Area is 1098581 sqkm,Country is in the Continent of South America,Bolivia
Bosnia and Herzegovina,Yes,Yes,No,No,No,Yes,No,,,,,,,,Yes,,,51209,Europe,Flag got the following colours: White/Gold/Blue/,Flag got the following symbols: Star/,Country's Area is 51209 sqkm,Country is in the Continent of Europe,Bosnia and Herzegovina
Botswana,Yes,No,Yes,No,No,Yes,No,,,,,,,,,,,582000,Africa,Flag got the following colours: White/Black/Blue/,Flag got the following symbols: ,Country's Area is 582000 sqkm,Country is in the Continent of Africa,Botswana
Brazil,Yes,Yes,No,No,Yes,Yes,No,,Yes,,,,Yes,,Yes,,,8510346,South America,Flag got the following colours: White/Gold/Green/Blue/,Flag got the following symbols: Circle/Text/Star/,Country's Area is 8510346 sqkm,Country is in the Continent of South America,Brazil
Brunei,Yes,Yes,Yes,Yes,No,No,No,,,Yes,,,Yes,,,,,5765,Asia,Flag got the following colours: White/Gold/Black/Red/,Flag got the following symbols: Crescent/Text/,Country's Area is 5765 sqkm,Country is in the Continent of Asia,Brunei
Bulgaria,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,110879,Europe,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 110879 sqkm,Country is in the Continent of Europe,Bulgaria
Burkina Faso,No,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,,274200,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Star/,Country's Area is 274200 sqkm,Country is in the Continent of Africa,Burkina Faso
Burundi,Yes,No,No,Yes,Yes,No,No,,Yes,,Yes,,,,Yes,,,27834,Africa,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Circle/Cross/Star/,Country's Area is 27834 sqkm,Country is in the Continent of Africa,Burundi
Cambodia,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,181035,Asia,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 181035 sqkm,Country is in the Continent of Asia,Cambodia
Cameroon,No,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,,475650,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Star/,Country's Area is 475650 sqkm,Country is in the Continent of Africa,Cameroon
Canada,Yes,No,No,Yes,No,No,No,,,,,,,Yes,,,,9984670,North America,Flag got the following colours: White/Red/,Flag got the following symbols: Plant/,Country's Area is 9984670 sqkm,Country is in the Continent of North America,Canada
Cape Verde,Yes,Yes,No,Yes,No,Yes,No,,,,,,,,Yes,,,4033,Africa,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 4033 sqkm,Country is in the Continent of Africa,Cape Verde
Central African Republic,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,Yes,,,622984,Africa,Flag got the following colours: White/Gold/Red/Green/Blue/,Flag got the following symbols: Star/,Country's Area is 622984 sqkm,Country is in the Continent of Africa,Central African Republic
Chad,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,1284000,Africa,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: ,Country's Area is 1284000 sqkm,Country is in the Continent of Africa,Chad
Chile,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,756102,South America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 756102 sqkm,Country is in the Continent of South America,Chile
China,No,Yes,No,Yes,No,No,No,,,,,,,,Yes,,,9596960,Asia,Flag got the following colours: Gold/Red/,Flag got the following symbols: Star/,Country's Area is 9596960 sqkm,Country is in the Continent of Asia,Ghana
Colombia,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,1138910,South America,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: ,Country's Area is 1138910 sqkm,Country is in the Continent of South America,Colombia
Comoros,Yes,Yes,No,Yes,Yes,Yes,No,,,Yes,,,,,Yes,,,1861,Africa,Flag got the following colours: White/Gold/Red/Green/Blue/,Flag got the following symbols: Crescent/Star/,Country's Area is 1861 sqkm,Country is in the Continent of Africa,Comoros
Costa Rica,Yes,No,No,Yes,No,Yes,No,Yes,,,,,,,,,,51100,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/,Country's Area is 51100 sqkm,Country is in the Continent of North America,Costa Rica
Croatia,Yes,No,No,Yes,No,Yes,No,Yes,,Yes,,Leopard/Goat/Marten,,,,,,56594,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Crescent/Leopard/Goat/Marten/,Country's Area is 56594 sqkm,Country is in the Continent of Europe,Croatia
Cuba,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,109884,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 109884 sqkm,Country is in the Continent of North America,Cuba
Cyprus,Yes,Yes,No,No,Yes,No,No,,,,,,,Yes,,,,9251,Europe,Flag got the following colours: White/Gold/Green/,Flag got the following symbols: Plant/,Country's Area is 9251 sqkm,Country is in the Continent of Europe,Cyprus
Czech Republic,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,78871,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 78871 sqkm,Country is in the Continent of Europe,Czech Republic
Democratic Republic of the Congo,No,Yes,No,Yes,No,Yes,No,,,,,,,,Yes,,,2344858,Africa,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 2344858 sqkm,Country is in the Continent of Africa,Democratic Republic of the Congo
Denmark,Yes,No,No,Yes,No,No,No,,,,Yes,,,,,,,42947,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: Cross/,Country's Area is 42947 sqkm,Country is in the Continent of Europe,Denmark
Djibouti,Yes,No,No,Yes,Yes,Yes,No,,,,,,,,Yes,,,23200,Africa,Flag got the following colours: White/Red/Green/Blue/,Flag got the following symbols: Star/,Country's Area is 23200 sqkm,Country is in the Continent of Africa,Djibouti
Dominica,Yes,Yes,Yes,Yes,Yes,No,No,,,,Yes,Sisserou Parrot,,,Yes,,,750,North America,Flag got the following colours: White/Gold/Black/Red/Green/,Flag got the following symbols: Cross/Sisserou Parrot/Star/,Country's Area is 750 sqkm,Country is in the Continent of North America,Dominica
Dominican Republic,Yes,No,No,Yes,No,Yes,No,Yes,,,Yes,,Yes,,,,,48670,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Cross/Text/,Country's Area is 48670 sqkm,Country is in the Continent of North America,Dominican Republic
East Timor,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,,14878,Asia,Flag got the following colours: White/Gold/Black/Red/,Flag got the following symbols: Star/,Country's Area is 14878 sqkm,Country is in the Continent of Asia,East Timor
Ecuador,No,Yes,No,Yes,No,Yes,No,Yes,,,,Condor,,,,Yes,,283561,South America,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Coat of Arms/Condor/Sun/,Country's Area is 283561 sqkm,Country is in the Continent of South America,Ecuador
Egypt,Yes,Yes,Yes,Yes,No,No,No,Yes,,,,Eagle of Saladin,Yes,,,,,1001450,Africa,Flag got the following colours: White/Gold/Black/Red/,Flag got the following symbols: Coat of Arms/Eagle of Saladin/Text/,Country's Area is 1001450 sqkm,Country is in the Continent of Africa,Egypt
El Salvador,Yes,No,No,No,No,Yes,No,Yes,,,,,Yes,,,,,21041,North America,Flag got the following colours: White/Blue/,Flag got the following symbols: Coat of Arms/Text/,Country's Area is 21041 sqkm,Country is in the Continent of North America,El Salvador
Equatorial Guinea,Yes,No,No,Yes,Yes,Yes,No,Yes,,,,,,Yes,Yes,,,28051,Africa,Flag got the following colours: White/Red/Green/Blue/,Flag got the following symbols: Coat of Arms/Plant/Star/,Country's Area is 28051 sqkm,Country is in the Continent of Africa,Equatorial Guinea
Eritrea,No,Yes,No,Yes,Yes,Yes,No,,,,,,,Yes,,,,117600,Africa,Flag got the following colours: Gold/Red/Green/Blue/,Flag got the following symbols: Plant/,Country's Area is 117600 sqkm,Country is in the Continent of Africa,Eritrea
Estonia,Yes,No,Yes,No,No,Yes,No,,,,,,,,,,,45339,Europe,Flag got the following colours: White/Black/Blue/,Flag got the following symbols: ,Country's Area is 45339 sqkm,Country is in the Continent of Europe,Estonia
Eswatini,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,Yes,17363,Africa,Flag got the following colours: White/Gold/Black/Red/Blue/,Flag got the following symbols: Weapon/Tool/,Country's Area is 17363 sqkm,Country is in the Continent of Africa,Eswatini
Ethiopia,No,Yes,No,Yes,Yes,Yes,No,,Yes,,,,,,Yes,,,1104300,Africa,Flag got the following colours: Gold/Red/Green/Blue/,Flag got the following symbols: Circle/Star/,Country's Area is 1104300 sqkm,Country is in the Continent of Africa,Ethiopia
Fiji,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,White Pelican/Yellow Lion,,Yes,,,,18272,Oceania,Flag got the following colours: White/Gold/Red/Green/Blue/,Flag got the following symbols: Coat of Arms/Cross/White Pelican/Yellow Lion/Plant/,Country's Area is 18272 sqkm,Country is in the Continent of Oceania,Fiji
Finland,Yes,No,No,No,No,Yes,No,,,,Yes,,,,,,,338145,Europe,Flag got the following colours: White/Blue/,Flag got the following symbols: Cross/,Country's Area is 338145 sqkm,Country is in the Continent of Europe,Finland
France,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,643801,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 643801 sqkm,Country is in the Continent of Europe,France
Gabon,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,267668,Africa,Flag got the following colours: Gold/Green/Blue/,Flag got the following symbols: ,Country's Area is 267668 sqkm,Country is in the Continent of Africa,Gabon
Gambia,Yes,No,No,Yes,Yes,Yes,No,,,,,,,,,,,11295,Africa,Flag got the following colours: White/Red/Green/Blue/,Flag got the following symbols: ,Country's Area is 11295 sqkm,Country is in the Continent of Africa,Gambia
Georgia,Yes,No,No,Yes,No,No,No,,,,Yes,,,,,,,69700,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: Cross/,Country's Area is 69700 sqkm,Country is in the Continent of Asia,Georgia
Germany,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,357581,Europe,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: ,Country's Area is 357581 sqkm,Country is in the Continent of Europe,Germany
Ghana,No,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,,238537,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Star/,Country's Area is 238537 sqkm,Country is in the Continent of Africa,Ghana
Greece,Yes,No,No,No,No,Yes,No,,,,Yes,,,,,,,131957,Europe,Flag got the following colours: White/Blue/,Flag got the following symbols: Cross/,Country's Area is 131957 sqkm,Country is in the Continent of Europe,Greece
Grenada,No,Yes,No,Yes,Yes,No,No,,Yes,,,,,Yes,Yes,,,345,North America,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Circle/Plant/Star/,Country's Area is 345 sqkm,Country is in the Continent of North America,Grenada
Guatemala,Yes,No,No,No,No,Yes,No,Yes,,,,Quetzal,Yes,,,,Yes,108889,North America,Flag got the following colours: White/Blue/,Flag got the following symbols: Coat of Arms/Quetzal/Text/Weapon/Tool/,Country's Area is 108889 sqkm,Country is in the Continent of North America,Guatemala
Guinea,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,245857,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 245857 sqkm,Country is in the Continent of Africa,Guinea
Guinea-Bissau,No,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,,36125,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Star/,Country's Area is 36125 sqkm,Country is in the Continent of Africa,Guinea-Bissau
Guyana,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,214969,South America,Flag got the following colours: White/Gold/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 214969 sqkm,Country is in the Continent of South America,Guyana
Haiti,Yes,No,No,Yes,No,Yes,No,Yes,,,,,Yes,Yes,,,Yes,27750,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Text/Plant/Weapon/Tool/,Country's Area is 27750 sqkm,Country is in the Continent of North America,Haiti
Honduras,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,112492,North America,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 112492 sqkm,Country is in the Continent of North America,Honduras
Hungary,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,93025,Europe,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 93025 sqkm,Country is in the Continent of Europe,Hungary
Iceland,Yes,No,No,Yes,No,Yes,No,,,,Yes,,,,,,,103000,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Cross/,Country's Area is 103000 sqkm,Country is in the Continent of Europe,Iceland
India,Yes,Yes,No,No,Yes,Yes,No,,Yes,,,,,,,,Yes,3287263,Asia,Flag got the following colours: White/Gold/Green/Blue/,Flag got the following symbols: Circle/Weapon/Tool/,Country's Area is 3287263 sqkm,Country is in the Continent of Asia,India
Indonesia,Yes,No,No,Yes,No,No,No,,,,,,,,,,,1904569,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 1904569 sqkm,Country is in the Continent of Asia,Indonesia
Iran,Yes,No,No,Yes,Yes,No,No,,,,,,Yes,,,,,1648195,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Text/,Country's Area is 1648195 sqkm,Country is in the Continent of Asia,Iran
Iraq,Yes,No,Yes,Yes,Yes,No,No,,,,,,Yes,,,,,438317,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Text/,Country's Area is 438317 sqkm,Country is in the Continent of Asia,Iraq
Ireland,Yes,Yes,No,No,Yes,No,No,,,,,,,,,,,70273,Europe,Flag got the following colours: White/Gold/Green/,Flag got the following symbols: ,Country's Area is 70273 sqkm,Country is in the Continent of Europe,Ireland
Israel,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,21937,Asia,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 21937 sqkm,Country is in the Continent of Asia,Israel
Italy,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,302068,Europe,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 302068 sqkm,Country is in the Continent of Europe,Italy
Ivory Coast,Yes,Yes,No,No,Yes,No,No,,,,,,,,,,,322462,Africa,Flag got the following colours: White/Gold/Green/,Flag got the following symbols: ,Country's Area is 322462 sqkm,Country is in the Continent of Africa,Ivory Coast
Jamaica,No,Yes,Yes,No,Yes,No,No,,,,Yes,,,,,,,10991,North America,Flag got the following colours: Gold/Black/Green/,Flag got the following symbols: Cross/,Country's Area is 10991 sqkm,Country is in the Continent of North America,Jamaica
Japan,Yes,No,No,Yes,No,No,No,,Yes,,,,,,,,,377915,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: Circle/,Country's Area is 377915 sqkm,Country is in the Continent of Asia,Japan
Jordan,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,Yes,,,89318,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Star/,Country's Area is 89318 sqkm,Country is in the Continent of Asia,Jordan
Kazakhstan,No,Yes,No,No,No,Yes,No,,Yes,,,Steppe Eagle,,,,Yes,,2724910,Asia,Flag got the following colours: Gold/Blue/,Flag got the following symbols: Circle/Steppe Eagle/Sun/,Country's Area is 2724910 sqkm,Country is in the Continent of Asia,Kazakhstan
Kenya,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,Yes,580367,Africa,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Weapon/Tool/,Country's Area is 580367 sqkm,Country is in the Continent of Africa,Kenya
Kiribati,Yes,Yes,No,Yes,No,Yes,No,,,,,Frigatebird,,,,Yes,,811,Oceania,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Frigatebird/Sun/,Country's Area is 811 sqkm,Country is in the Continent of Oceania,Kiribati
Kuwait,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,17818,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 17818 sqkm,Country is in the Continent of Asia,Kuwait
Kyrgyzstan,No,Yes,No,Yes,No,No,No,,,,,,,,,Yes,,199949,Asia,Flag got the following colours: Gold/Red/,Flag got the following symbols: Sun/,Country's Area is 199949 sqkm,Country is in the Continent of Asia,Kyrgyzstan
Laos,Yes,No,No,Yes,No,Yes,No,,Yes,,,,,,,,,236800,Asia,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Circle/,Country's Area is 236800 sqkm,Country is in the Continent of Asia,Laos
Latvia,Yes,No,No,No,No,No,Yes,,,,,,,,,,,64594,Europe,Flag got the following colours: White/Maroon/,Flag got the following symbols: ,Country's Area is 64594 sqkm,Country is in the Continent of Europe,Latvia
Lebanon,Yes,No,No,Yes,Yes,No,No,,,,,,,Yes,,,,10452,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Plant/,Country's Area is 10452 sqkm,Country is in the Continent of Asia,Lebanon
Lesotho,Yes,No,Yes,No,Yes,Yes,No,,,,,,,,,,,30355,Africa,Flag got the following colours: White/Black/Green/Blue/,Flag got the following symbols: ,Country's Area is 30355 sqkm,Country is in the Continent of Africa,Lesotho
Liberia,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,111369,Africa,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 111369 sqkm,Country is in the Continent of Africa,Liberia
Libya,Yes,No,Yes,Yes,Yes,No,No,,,Yes,,,,,Yes,,,1759540,Africa,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 1759540 sqkm,Country is in the Continent of Africa,Libya
