Country,White,Gold,Black,Red,Green,Blue,Maroon,Coat of Arms,Circle,Crescent,Cross,Animal,Text,Plant,Star,Sun,Weapon or Tool,Area,Continent,Color Text(Hint1),Design Text(Hint2),Area Text(Hint3),Continent Text(Hint4),Image Code
Liechtenstein,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,160,Europe,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: ,Country's Area is 160 sqkm,Country is in the Continent of Europe,Liechtenstein
Lithuania,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,65286,Europe,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 65286 sqkm,Country is in the Continent of Europe,Lithuania
Luxembourg,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,2586,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 2586 sqkm,Country is in the Continent of Europe,Luxembourg
Madagascar,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,587041,Africa,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 587041 sqkm,Country is in the Continent of Africa,Madagascar
Malawi,No,No,Yes,Yes,Yes,No,No,,,,,,,,,Yes,,118484,Africa,Flag got the following colours: Black/Red/Green/,Flag got the following symbols: Sun/,Country's Area is 118484 sqkm,Country is in the Continent of Africa,Malawi
Malaysia,Yes,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,329847,Asia,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Crescent/Star/,Country's Area is 329847 sqkm,Country is in the Continent of Asia,Malaysia
Maldives,Yes,No,No,Yes,Yes,No,No,,,Yes,,,,,,,,300,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Crescent/,Country's Area is 300 sqkm,Country is in the Continent of Asia,Maldives
Mali,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,1240192,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 1240192 sqkm,Country is in the Continent of Africa,Mali
Malta,Yes,No,No,Yes,No,No,No,,,,Yes,Horse/Dragon,Yes,,,,,315,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: Cross/Horse/Dragon/Text/,Country's Area is 315 sqkm,Country is in the Continent of Europe,Malta
Marshall Islands,Yes,Yes,No,No,No,Yes,No,,,,,,,,Yes,Yes,,181,Oceania,Flag got the following colours: White/Gold/Blue/,Flag got the following symbols: Star/Sun/,Country's Area is 181 sqkm,Country is in the Continent of Oceania,Marshall Islands
Mauritania,No,Yes,No,Yes,Yes,No,No,,,Yes,,,,,Yes,,,1030700,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 1030700 sqkm,Country is in the Continent of Africa,Mauritania
Mauritius,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,2040,Africa,Flag got the following colours: Gold/Red/Green/Blue/,Flag got the following symbols: ,Country's Area is 2040 sqkm,Country is in the Continent of Africa,Mauritius
Mexico,Yes,No,No,Yes,Yes,No,No,Yes,,,,Eagle/Snake,,Yes,,,,1964375,North America,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Coat of Arms/Eagle/Snake/Plant/,Country's Area is 1964375 sqkm,Country is in the Continent of North America,Mexico
Micronesia,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,702,Oceania,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 702 sqkm,Country is in the Continent of Oceania,Micronesia
Moldova,No,Yes,No,Yes,No,Yes,No,Yes,,Yes,,Eagle/Aurochs,,,,,,33847,Europe,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Coat of Arms/Crescent/Eagle/Aurochs/,Country's Area is 33847 sqkm,Country is in the Continent of Europe,Moldova
Monaco,Yes,No,No,Yes,No,No,No,,,,,,,,,,,2,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 2 sqkm,Country is in the Continent of Europe,Monaco
Mongolia,No,Yes,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,1564116,Asia,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Circle/Crescent/,Country's Area is 1564116 sqkm,Country is in the Continent of Asia,Mongolia
Montenegro,No,Yes,No,Yes,No,No,No,Yes,,,,Double Headed Eagle/Lion,,,,,,13812,Europe,Flag got the following colours: Gold/Red/,Flag got the following symbols: Coat of Arms/Double Headed Eagle/Lion/,Country's Area is 13812 sqkm,Country is in the Continent of Europe,Montenegro
Morocco,No,No,No,Yes,Yes,No,No,,,,,,,,Yes,,,446550,Africa,Flag got the following colours: Red/Green/,Flag got the following symbols: Star/,Country's Area is 446550 sqkm,Country is in the Continent of Africa,Morocco
Mozambique,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,Yes,,Yes,799380,Africa,Flag got the following colours: White/Gold/Black/Red/Green/,Flag got the following symbols: Star/Weapon/Tool/,Country's Area is 799380 sqkm,Country is in the Continent of Africa,Mozambique
Myanmar,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,Yes,676578,Asia,Flag got the following colours: White/Gold/Red/Green/,Flag got the following symbols: Star/Weapon/Tool/,Country's Area is 676578 sqkm,Country is in the Continent of Asia,Myanmar
Namibia,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,,,,,,Yes,Yes,,824292,Africa,Flag got the following colours: White/Gold/Red/Green/Blue/,Flag got the following symbols: Circle/Star/Sun/,Country's Area is 824292 sqkm,Country is in the Continent of Africa,Namibia
Nauru,Yes,Yes,No,No,No,Yes,No,,,,,,,,Yes,Yes,,21,Oceania,Flag got the following colours: White/Gold/Blue/,Flag got the following symbols: Star/Sun/,Country's Area is 21 sqkm,Country is in the Continent of Oceania,Nauru
Nepal,Yes,No,No,Yes,No,Yes,No,,,Yes,,,,,,Yes,,147181,Asia,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Crescent/Sun/,Country's Area is 147181 sqkm,Country is in the Continent of Asia,Nepal
Netherlands,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,41865,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 41865 sqkm,Country is in the Continent of Europe,Netherlands
New Zealand,Yes,No,No,Yes,No,Yes,No,,,,Yes,,,,Yes,,,268838,Oceania,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Cross/Star/,Country's Area is 268838 sqkm,Country is in the Continent of Oceania,New Zealand
Nicaragua,Yes,No,No,No,No,Yes,No,Yes,,,,,Yes,,,,,130373,North America,Flag got the following colours: White/Blue/,Flag got the following symbols: Coat of Arms/Text/,Country's Area is 130373 sqkm,Country is in the Continent of North America,Nicaragua
Niger,Yes,Yes,No,No,Yes,No,No,,Yes,,,,,,,Yes,,1267000,Africa,Flag got the following colours: White/Gold/Green/,Flag got the following symbols: Circle/Sun/,Country's Area is 1267000 sqkm,Country is in the Continent of Africa,Niger
Nigeria,Yes,No,No,No,Yes,No,No,,,,,,,,,,,923768,Africa,Flag got the following colours: White/Green/,Flag got the following symbols: ,Country's Area is 923768 sqkm,Country is in the Continent of Africa,Nigeria
North Korea,Yes,No,No,Yes,No,Yes,No,,Yes,,,,,,Yes,,,120538,Asia,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Circle/Star/,Country's Area is 120538 sqkm,Country is in the Continent of Asia,North Korea
North Macedonia,No,Yes,No,Yes,No,No,No,,Yes,,,,,,,,,25713,Europe,Flag got the following colours: Gold/Red/,Flag got the following symbols: Circle/,Country's Area is 25713 sqkm,Country is in the Continent of Europe,North Macedonia
Norway,Yes,No,No,Yes,No,Yes,No,,,,Yes,,,,,,,386224,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Cross/,Country's Area is 386224 sqkm,Country is in the Continent of Europe,Norway
Oman,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,Yes,309500,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Weapon/Tool/,Country's Area is 309500 sqkm,Country is in the Continent of Asia,Oman
Pakistan,Yes,No,No,No,Yes,No,No,,,Yes,,,,,Yes,,,882363,Asia,Flag got the following colours: White/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 882363 sqkm,Country is in the Continent of Asia,Pakistan
Palau,No,Yes,No,No,No,Yes,No,,Yes,,,,,,,,,459,Oceania,Flag got the following colours: Gold/Blue/,Flag got the following symbols: Circle/,Country's Area is 459 sqkm,Country is in the Continent of Oceania,Palau
Palestine,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,6020,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 6020 sqkm,Country is in the Continent of Asia,Palestine
Panama,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,75320,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 75320 sqkm,Country is in the Continent of North America,Panama
Papua New Guinea,Yes,Yes,Yes,Yes,No,No,No,,,,,Raggiana,,,Yes,,,462840,Oceania,Flag got the following colours: White/Gold/Black/Red/,Flag got the following symbols: Raggiana/Star/,Country's Area is 462840 sqkm,Country is in the Continent of Oceania,Papua New Guinea
Paraguay,Yes,No,No,Yes,No,Yes,No,Yes,Yes,,,,Yes,,Yes,,,406752,South America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Circle/Text/Star/,Country's Area is 406752 sqkm,Country is in the Continent of South America,Paraguay
Peru,Yes,No,No,Yes,No,No,No,,,,,,,,,,,1285216,South America,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 1285216 sqkm,Country is in the Continent of South America,Peru
Philippines,Yes,Yes,No,Yes,No,Yes,No,,,,,,,,Yes,Yes,,300000,Asia,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Star/Sun/,Country's Area is 300000 sqkm,Country is in the Continent of Asia,Philippines
Poland,Yes,No,No,Yes,No,No,No,,,,,,,,,,,312865,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 312865 sqkm,Country is in the Continent of Europe,Poland
Portugal,No,No,No,Yes,Yes,No,No,Yes,Yes,,,,,,,,Yes,92225,Europe,Flag got the following colours: Red/Green/,Flag got the following symbols: Coat of Arms/Circle/Weapon/Tool/,Country's Area is 92225 sqkm,Country is in the Continent of Europe,Portugal
Qatar,Yes,No,No,No,No,No,Yes,,,,,,,,,,,11586,Asia,Flag got the following colours: White/Maroon/,Flag got the following symbols: ,Country's Area is 11586 sqkm,Country is in the Continent of Asia,Qatar
Republic of the Congo,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,342000,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 342000 sqkm,Country is in the Continent of Africa,Republic of the Congo
Romania,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,238398,Europe,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: ,Country's Area is 238398 sqkm,Country is in the Continent of Europe,Romania
Russia,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,17098246,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 17098246 sqkm,Country is in the Continent of Europe,Russia
Rwanda,No,Yes,No,No,Yes,Yes,No,,Yes,,,,,,,Yes,,26338,Africa,Flag got the following colours: Gold/Green/Blue/,Flag got the following symbols: Circle/Sun/,Country's Area is 26338 sqkm,Country is in the Continent of Africa,Rwanda
Saint Kitts and Nevis,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,Yes,,,261,North America,Flag got the following colours: White/Gold/Black/Red/Green/,Flag got the following symbols: Star/,Country's Area is 261 sqkm,Country is in the Continent of North America,Saint Kitts and Nevis
Saint Lucia,Yes,Yes,Yes,No,No,Yes,No,,,,,,,,,,,616,North America,Flag got the following colours: White/Gold/Black/Blue/,Flag got the following symbols: ,Country's Area is 616 sqkm,Country is in the Continent of North America,Saint Lucia
Saint Vincent and the Grenadines,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,389,North America,Flag got the following colours: Gold/Green/Blue/,Flag got the following symbols: ,Country's Area is 389 sqkm,Country is in the Continent of North America,Saint Vincent and the Grenadines
Samoa,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,2842,Oceania,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 2842 sqkm,Country is in the Continent of Oceania,Samoa
San Marino,Yes,No,No,No,No,Yes,No,,,,,,Yes,,,,,61,Europe,Flag got the following colours: White/Blue/,Flag got the following symbols: Text/,Country's Area is 61 sqkm,Country is in the Continent of Europe,San Marino
Sao Tome and Principe,No,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,,964,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Star/,Country's Area is 964 sqkm,Country is in the Continent of Africa,Sao Tome and Principe
Saudi Arabia,Yes,No,No,No,Yes,No,No,,,,,,Yes,,,,Yes,2149690,Asia,Flag got the following colours: White/Green/,Flag got the following symbols: Text/Weapon/Tool/,Country's Area is 2149690 sqkm,Country is in the Continent of Asia,Saudi Arabia
Senegal,No,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,,196712,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Star/,Country's Area is 196712 sqkm,Country is in the Continent of Africa,Senegal
Serbia,Yes,No,No,Yes,No,Yes,No,Yes,,,,Double Headed Eagle,,,,,,88499,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Double Headed Eagle/,Country's Area is 88499 sqkm,Country is in the Continent of Europe,Serbia
Seychelles,Yes,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,457,Africa,Flag got the following colours: White/Gold/Red/Green/Blue/,Flag got the following symbols: ,Country's Area is 457 sqkm,Country is in the Continent of Africa,Seychelles
Sierra Leone,Yes,No,No,No,Yes,Yes,No,,,,,,,,,,,72300,Africa,Flag got the following colours: White/Green/Blue/,Flag got the following symbols: ,Country's Area is 72300 sqkm,Country is in the Continent of Africa,Sierra Leone
Singapore,Yes,No,No,Yes,No,No,No,,,Yes,,,,,Yes,,,736,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: Crescent/Star/,Country's Area is 736 sqkm,Country is in the Continent of Asia,Singapore
Slovakia,Yes,No,No,Yes,No,Yes,No,Yes,,,,,,,,,,49035,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/,Country's Area is 49035 sqkm,Country is in the Continent of Europe,Slovakia
Slovenia,Yes,No,No,Yes,No,Yes,No,Yes,,,,,,,Yes,,,20273,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Star/,Country's Area is 20273 sqkm,Country is in the Continent of Europe,Slovenia
Solomon Islands,Yes,Yes,No,No,Yes,Yes,No,,,,,,,,Yes,,,28896,Oceania,Flag got the following colours: White/Gold/Green/Blue/,Flag got the following symbols: Star/,Country's Area is 28896 sqkm,Country is in the Continent of Oceania,Solomon Islands
Somalia,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,637657,Africa,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 637657 sqkm,Country is in the Continent of Africa,Somalia
South Africa,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,1219090,Africa,Flag got the following colours: White/Gold/Black/Red/Green/Blue/,Flag got the following symbols: ,Country's Area is 1219090 sqkm,Country is in the Continent of Africa,South Africa
South Korea,Yes,No,Yes,Yes,No,Yes,No,,Yes,,,,,,,,,100432,Asia,Flag got the following colours: White/Black/Red/Blue/,Flag got the following symbols: Circle/,Country's Area is 100432 sqkm,Country is in the Continent of Asia,South Korea
South Sudan,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,Yes,,,644329,Africa,Flag got the following colours: White/Gold/Black/Red/Green/Blue/,Flag got the following symbols: Star/,Country's Area is 644329 sqkm,Country is in the Continent of Africa,South Sudan
Spain,No,Yes,No,Yes,No,No,No,Yes,,,,Lion,Yes,,,,,505370,Europe,Flag got the following colours: Gold/Red/,Flag got the following symbols: Coat of Arms/Lion/Text/,Country's Area is 505370 sqkm,Country is in the Continent of Europe,Spain
Sri Lanka,No,Yes,No,No,Yes,No,Yes,,,,,Golden lion,,Yes,,,Yes,65610,Asia,Flag got the following colours: Gold/Green/Maroon/,Flag got the following symbols: Golden lion/Plant/Weapon/Tool/,Country's Area is 65610 sqkm,Country is in the Continent of Asia,Sri Lanka
Sudan,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,1861484,Africa,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 1861484 sqkm,Country is in the Continent of Africa,Sudan
Suriname,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,,163820,South America,Flag got the following colours: White/Gold/Red/Green/,Flag got the following symbols: Star/,Country's Area is 163820 sqkm,Country is in the Continent of South America,Suriname
Sweden,No,Yes,No,No,No,Yes,No,,,,Yes,,,,,,,450295,Europe,Flag got the following colours: Gold/Blue/,Flag got the following symbols: Cross/,Country's Area is 450295 sqkm,Country is in the Continent of Europe,Sweden
Switzerland,Yes,No,No,Yes,No,No,No,,,,,,,,,,,41291,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 41291 sqkm,Country is in the Continent of Europe,Switzerland
Syria,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,Yes,,,185180,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Star/,Country's Area is 185180 sqkm,Country is in the Continent of Asia,Syria
Tajikistan,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,,144100,Asia,Flag got the following colours: White/Gold/Red/Green/,Flag got the following symbols: Star/,Country's Area is 144100 sqkm,Country is in the Continent of Asia,Tajikistan
Tanzania,No,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,947303,Africa,Flag got the following colours: Gold/Black/Green/Blue/,Flag got the following symbols: ,Country's Area is 947303 sqkm,Country is in the Continent of Africa,Tanzania
Thailand,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,513120,Asia,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 513120 sqkm,Country is in the Continent of Asia,Thailand
Togo,Yes,Yes,No,Yes,Yes,No,No,,,,,,,,Yes,,,56785,Africa,Flag got the following colours: White/Gold/Red/Green/,Flag got the following symbols: Star/,Country's Area is 56785 sqkm,Country is in the Continent of Africa,Togo
Tonga,Yes,No,No,Yes,No,No,No,,,,Yes,,,,,,,747,Oceania,Flag got the following colours: White/Red/,Flag got the following symbols: Cross/,Country's Area is 747 sqkm,Country is in the Continent of Oceania,Tonga
Trinidad and Tobago,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,5127,North America,Flag got the following colours: White/Black/Red/,Flag got the following symbols: ,Country's Area is 5127 sqkm,Country is in the Continent of North America,Trinidad and Tobago
Tunisia,Yes,No,No,Yes,No,No,No,,Yes,Yes,,,,,Yes,,,163610,Africa,Flag got the following colours: White/Red/,Flag got the following symbols: Circle/Crescent/Star/,Country's Area is 163610 sqkm,Country is in the Continent of Africa,Tunisia
Turkey,Yes,No,No,Yes,No,No,No,,,Yes,,,,,Yes,,,783562,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: Crescent/Star/,Country's Area is 783562 sqkm,Country is in the Continent of Asia,Turkey
Turkmenistan,Yes,Yes,No,Yes,Yes,No,No,,,Yes,,,,,Yes,,,488100,Asia,Flag got the following colours: White/Gold/Red/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 488100 sqkm,Country is in the Continent of Asia,Turkmenistan
Tuvalu,Yes,Yes,No,Yes,No,Yes,No,,,,Yes,,,,Yes,,,26,Oceania,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Cross/Star/,Country's Area is 26 sqkm,Country is in the Continent of Oceania,Tuvalu
Uganda,No,Yes,Yes,Yes,No,No,No,,Yes,,,Grey Crowned Crane,,,,,,241550,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Circle/Grey Crowned Crane/,Country's Area is 241550 sqkm,Country is in the Continent of Africa,Uganda
Ukraine,No,Yes,No,No,No,Yes,No,,,,,,,,,,,603550,Europe,Flag got the following colours: Gold/Blue/,Flag got the following symbols: ,Country's Area is 603550 sqkm,Country is in the Continent of Europe,Ukraine
United Arab Emirates,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,83600,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 83600 sqkm,Country is in the Continent of Asia,United Arab Emirates
United Kingdom,Yes,No,No,Yes,No,Yes,No,,,,Yes,,,,,,,244376,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Cross/,Country's Area is 244376 sqkm,Country is in the Continent of Europe,United Kingdom
United States,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,9525067,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 9525067 sqkm,Country is in the Continent of North America,United States of America
Uruguay,Yes,Yes,No,No,No,Yes,No,,,,,,,,,Yes,,176215,South America,Flag got the following colours: White/Gold/Blue/,Flag got the following symbols: Sun/,Country's Area is 176215 sqkm,Country is in the Continent of South America,Uruguay
Uzbekistan,Yes,No,No,Yes,Yes,Yes,No,,,Yes,,,,,Yes,,,447400,Asia,Flag got the following colours: White/Red/Green/Blue/,Flag got the following symbols: Crescent/Star/,Country's Area is 447400 sqkm,Country is in the Continent of Asia,Uzbekistan
Vanuatu,No,Yes,Yes,Yes,No,No,No,,,,,,,Yes,,,,12189,Oceania,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Plant/,Country's Area is 12189 sqkm,Country is in the Continent of Oceania,Vanuatu
Vatican City,Yes,Yes,No,No,No,No,No,Yes,,,Yes,,,,,,,0.49,Europe,Flag got the following colours: White/Gold/,Flag got the following symbols: Coat of Arms/Cross/,Country's Area is 0.49 sqkm,Country is in the Continent of Europe,Vatican City
Venezuela,Yes,Yes,No,Yes,No,Yes,No,,,,,Horse,,,Yes,,Yes,912050,South America,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Horse/Star/Weapon/Tool/,Country's Area is 912050 sqkm,Country is in the Continent of South America,Venezuela
Vietnam,No,Yes,No,Yes,No,No,No,,,,,,,,Yes,,,331340,Asia,Flag got the following colours: Gold/Red/,Flag got the following symbols: Star/,Country's Area is 331340 sqkm,Country is in the Continent of Asia,Vietnam
Yemen,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,527968,Asia,Flag got the following colours: White/Black/Red/,Flag got the following symbols: ,Country's Area is 527968 sqkm,Country is in the Continent of Asia,Yemen
Zambia,No,Yes,Yes,Yes,No,No,No,,,,,African Fish Eagle,,,,,,752612,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: African Fish Eagle/,Country's Area is 752612 sqkm,Country is in the Continent of Africa,Zambia
Zimbabwe,Yes,Yes,Yes,Yes,Yes,No,No,,,,,Zimbabwe Bird,,,Yes,,,390757,Africa,Flag got the following colours: White/Gold/Black/Red/Green/,Flag got the following symbols: Zimbabwe Bird/Star/,Country's Area is 390757 sqkm,Country is in the Continent of Africa,Zimbabwe
